"","1-1A","10-2B","11-2C","12-2D","13-2E","14-2F","15-2G","16-2H","17-3A","18-3B","19-3C","2-1B","20-3D","21-3E","22-3F","23-3G","24-3H","25-4A","26-4B","27-4C","28-4D","29-4E","3-1C","30-4F","31-4G","32-4H","33-5A","34-5B","35-5C","36-5D","37-6E","38-5F","39-5G","4-1D","40-5H","5-1E","6-1F","7-1G","8-1H","9-2A"
"RBG-16-58-14",0.0281910678992577,0.02623421496712,0.0332401282593821,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417803,0.082778322263693,0.0930379693969894,0.0408086281357605,0.0215433984472147,0.0335221367571231,0.0451928985702921,0.0448442004052812,0.0595279349704632,0.0541627589940021,0.0561825696823815,0.0395231201585923,0.045543540147567,0.0414624233186989,0.045192898570293,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411032,0.0591019947470239,0.0719059631181474,0.0484195680578254,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.125857224592079,0.0230374353389681,0.0521963392284535,0.051809371280427,0.0466072027561262,0.0612542383304705,0.0335221367571226,0.0514244895568575
"Reyranella",0.777370239178484,0.764309678924416,0.805396151237553,0.833186073596586,0.850685956167553,0.869808018904933,0.892244806954475,0.861554815885692,0.915705460020468,0.925080581420648,0.836629891906375,0.726046093501201,0.806762334389911,0.850685956167545,0.849652790698636,0.883975132361527,0.873302948457146,0.877528861678499,0.832020697605674,0.851711405260905,0.838882863368876,0.850685956167548,0.783610251105337,0.883189886268896,0.838882863368888,0.845441717781255,0.883189886268895,0.903155380134657,0.85964450113459,0.816041030752249,0.88239886681806,0.893678568737199,0.945445964094689,0.73947329848318,0.868917994118291,0.868021346550359,0.854742067662023,0.88705930592108,0.806762334389909,0.86711802255571
"Reyranella_sp.",0.196974611800239,0.185538645031234,0.225246462626001,0.259736206296757,0.285829382445522,0.319416263611742,0.367759777664855,0.304183703909867,0.432823523376495,0.464497256585078,0.264569019905086,0.156954568548142,0.226775335134397,0.285829382445509,0.284176591155117,0.348623855878806,0.326241377022252,0.334815760171825,0.258131751197039,0.287484916148305,0.267806784481106,0.285829382445513,0.202799647109601,0.346892337240413,0.267806784481123,0.27759351426227,0.346892337240411,0.395815524186961,0.30082389090712,0.23758488714449,0.345162321974449,0.371254488789225,0.54902868324022,0.16624385159106,0.317715051634427,0.316015935498255,0.292467637631767,0.355564264278654,0.226775335134395,0.31431894977427
"Rhizobiaceae",0.960706849670271,0.957818105248339,0.966643619667707,0.972201756373445,0.975546005932904,0.979071132562589,0.983044983197072,0.977565749301935,0.987023965489762,0.988566183009575,0.972869095076303,0.948868337605113,0.966924281444065,0.975546005932902,0.975351765868279,0.981600065976649,0.979701405590713,0.980457868361754,0.971974889004948,0.97573840554269,0.973303199490545,0.975546005932903,0.962058986498079,0.98146168059079,0.973303199490547,0.974555961517021,0.98146168059079,0.984917151157661,0.977213857319337,0.968809800805648,0.981322068284809,0.983293204304935,0.991826715281603,0.952095017102197,0.978909946478847,0.978747280571136,0.976304774556095,0.982141599621332,0.966924281444064,0.97858311810464
"Rhizobiales",0.960706849670271,0.957818105248339,0.966643619667707,0.972201756373445,0.975546005932904,0.979071132562589,0.983044983197072,0.977565749301935,0.987023965489762,0.988566183009575,0.972869095076303,0.948868337605113,0.966924281444065,0.975546005932902,0.975351765868279,0.981600065976649,0.979701405590713,0.980457868361754,0.971974889004948,0.97573840554269,0.973303199490545,0.975546005932903,0.962058986498079,0.98146168059079,0.973303199490547,0.974555961517021,0.98146168059079,0.984917151157661,0.977213857319337,0.968809800805648,0.981322068284809,0.983293204304935,0.991826715281603,0.952095017102197,0.978909946478847,0.978747280571136,0.976304774556095,0.982141599621332,0.966924281444064,0.97858311810464
"Rhizobiales_Incertae_Sedis",0.123610048178732,0.11581915903628,0.143230022518161,0.167882699785841,0.187080262179911,0.212516374945892,0.250638979716093,0.200877064207564,0.304977069914209,0.332784448277795,0.171402154460075,0.0967007898863742,0.144305893500317,0.187080262179902,0.185849886592014,0.235328930619787,0.217788251646275,0.224461841516903,0.166717859695713,0.188314653241645,0.173769154467152,0.187080262179905,0.127610279830295,0.233958007223669,0.173769154467164,0.180968740920352,0.233958007223667,0.273626731854906,0.198333065382157,0.15195696641287,0.232590635555721,0.253466917359632,0.411777802788072,0.102859076170526,0.211207824079647,0.209903066978546,0.192041814987496,0.240847829904547,0.144305893500315,0.208602116613873
"Rhizobiales_bacterium",0.0281910678992577,0.0262342149671201,0.0332401282593821,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417804,0.082778322263693,0.0930379693969894,0.0408086281357606,0.0215433984472147,0.0335221367571231,0.0451928985702922,0.0448442004052813,0.0595279349704632,0.0541627589940021,0.0561825696823815,0.0395231201585923,0.045543540147567,0.0414624233186989,0.045192898570293,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411033,0.059101994747024,0.0719059631181474,0.0484195680578255,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.12585722459208,0.0230374353389681,0.0521963392284535,0.0518093712804271,0.0466072027561262,0.0612542383304706,0.0335221367571226,0.0514244895568576
"Rhizocola",0.196974611800239,0.185538645031234,0.225246462626001,0.259736206296757,0.285829382445522,0.319416263611742,0.367759777664855,0.304183703909867,0.432823523376495,0.464497256585078,0.264569019905086,0.156954568548142,0.226775335134397,0.285829382445509,0.284176591155117,0.348623855878806,0.326241377022252,0.334815760171825,0.258131751197039,0.287484916148305,0.267806784481106,0.285829382445513,0.202799647109601,0.346892337240413,0.267806784481123,0.27759351426227,0.346892337240411,0.395815524186961,0.30082389090712,0.23758488714449,0.345162321974449,0.371254488789225,0.54902868324022,0.16624385159106,0.317715051634427,0.316015935498255,0.292467637631767,0.355564264278654,0.226775335134395,0.31431894977427
"Rhodanobacteraceae",0.236836639688479,0.223731151667327,0.268913940221127,0.307436773636487,0.336145960418203,0.372560988905919,0.42393765670819,0.356120169193181,0.491218295235284,0.523223186665712,0.312782120546902,0.190640387808658,0.270635671733358,0.33614596041819,0.334338425764155,0.403745294671132,0.379887819502459,0.389057986703394,0.30565932642629,0.337955018402272,0.316356103189637,0.336145960418194,0.243483068684484,0.401908925111522,0.316356103189656,0.327124360114933,0.40190892511152,0.453207000095993,0.352477295152432,0.282771322408685,0.400072607023372,0.427605154540807,0.606340870797816,0.201446957693512,0.370730911783894,0.368901568581779,0.343390913020306,0.411090506733598,0.270635671733355,0.367073000297788
"Rhodobacteraceae",0.370331613936629,0.35325846253557,0.410757998542522,0.456901457361393,0.489699009370083,0.5294810945972,0.582410725172651,0.511763618130174,0.646611266109007,0.675302480835217,0.463107793241047,0.308626705970513,0.41287501475718,0.489699009370068,0.487672342936456,0.562034556894369,0.537251505465498,0.546870330698812,0.454827380386692,0.491722342245573,0.467231626565028,0.489699009370073,0.3788645391363,0.560154597949882,0.46723162656505,0.479533171944378,0.56015459794988,0.611016185051034,0.507784218780589,0.427649124985358,0.558270140954811,0.586054443072984,0.744837215675304,0.323448592708737,0.527528276027052,0.525571433558744,0.49777193527342,0.5695089418835,0.412875014757176,0.52361059923405
