,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
AKYG587,0.08995,0.084082,0.10486,0.123858,0.13886,0.159025,0.189877,0.149757,0.23521,0.259054,0.126595,0.069806,0.105682,0.13886,0.137893,0.177395,0.163246,0.16861,0.122953,0.139831,0.128438,0.13886,0.092975,0.176283,0.128438,0.134064,0.176283,0.208856,0.147741,0.111551,0.175175,0.192196,0.329301,0.074384,0.15798,0.156938,0.142768,0.18188,0.105682,0.155901
AT-s2-59,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
AT-s3-28,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Acetobacteraceae,0.710511,0.695078,0.744168,0.778287,0.800164,0.824423,0.853372,0.813907,0.884217,0.896712,0.782568,0.650771,0.745828,0.800164,0.798864,0.84264,0.828898,0.834325,0.776841,0.801455,0.785375,0.800164,0.717941,0.841625,0.785375,0.793576,0.841625,0.867642,0.811483,0.757149,0.840603,0.85524,0.924195,0.666164,0.823286,0.822141,0.805278,0.846634,0.745828,0.820988
Acetobacteraceae_bacterium,0.445935,0.427757,0.488195,0.535126,0.567668,0.606263,0.656181,0.589191,0.714636,0.740052,0.541335,0.379294,0.490378,0.567668,0.565676,0.637154,0.613692,0.62284,0.533046,0.569654,0.545448,0.567668,0.454946,0.635386,0.545448,0.557652,0.635386,0.682503,0.585331,0.505533,0.633613,0.659559,0.799918,0.395539,0.604391,0.602512,0.575577,0.64416,0.490378,0.600627
Acetobacteroides_hydrogenigenes,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Acidibacter,0.923489,0.918101,0.934662,0.945245,0.95167,0.958492,0.966241,0.955573,0.974064,0.977114,0.946523,0.901614,0.935193,0.95167,0.951296,0.963416,0.959716,0.961189,0.94481,0.952042,0.947356,0.95167,0.926022,0.963146,0.947356,0.949764,0.963146,0.969914,0.954892,0.938772,0.962873,0.966727,0.983595,0.907522,0.958179,0.957863,0.953135,0.964473,0.935193,0.957544
Acidimicrobiia,0.812374,0.800849,0.836907,0.860968,0.875987,0.892281,0.911246,0.885263,0.930902,0.938708,0.863932,0.766754,0.838096,0.875987,0.875103,0.904275,0.895245,0.898825,0.859964,0.876863,0.865868,0.875987,0.817859,0.903612,0.865868,0.871497,0.903612,0.920409,0.883635,0.846154,0.902943,0.912452,0.95557,0.778773,0.891525,0.890763,0.879453,0.906877,0.838096,0.889996
Acidisphaera_sp.,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Acidobacteria_bacterium,0.961302,0.958457,0.967149,0.972625,0.975919,0.979392,0.983307,0.977909,0.987228,0.988748,0.973282,0.949649,0.967426,0.975919,0.975728,0.981883,0.980013,0.980758,0.972401,0.976109,0.97371,0.975919,0.962634,0.981747,0.97371,0.974944,0.981747,0.985152,0.977562,0.969283,0.98161,0.983552,0.991961,0.952823,0.979233,0.979073,0.976666,0.982417,0.967426,0.978911
