Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
uncultured_Acidobacteriales,61,171,256,226,292,258,348,282,170,280,223,58,168,446,601,238,322,240,309,232,158,270,127,309,139,179,196,192,224,167,368,411,797,164,706,534,510,484,164,298
uncultured_Acidobacterium,1535,1428,1687,2126,2127,2184,1268,1072,871,1230,1207,1012,1313,1147,1260,1302,1591,2787,1432,2387,2169,1938,1416,2085,1448,1638,1119,1146,1594,1190,1772,1820,2980,1550,1246,1018,1373,1652,1725,1537
uncultured_Acidothermaceae,0,11,0,0,0,17,0,0,0,13,26,0,30,16,43,18,21,0,0,38,0,0,5,0,0,0,0,0,29,22,54,47,0,0,18,0,0,0,15,0
uncultured_Actinoallomurus,0,0,0,0,0,0,0,0,0,0,0,0,0,36,65,0,0,0,0,0,0,0,0,0,0,0,0,0,252,199,33,99,19,0,0,0,0,0,0,0
uncultured_Actinobacteridae,0,0,0,18,11,0,36,23,69,152,0,0,0,0,0,11,28,63,46,25,25,111,0,67,116,133,126,167,0,0,0,0,204,0,0,181,166,111,0,102
uncultured_Actinomycetales,83,0,0,0,0,0,22,33,52,98,0,60,22,0,0,12,14,26,106,20,16,81,43,95,71,86,130,193,0,0,0,0,89,0,28,279,230,161,0,173
uncultured_Alcaligenaceae,0,0,0,0,0,0,63,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Alicyclobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,43,27,4,0,0,0,0,0,0,0,0,92,45,0,0,0,10,0,0,0,0,0,0,0,0
uncultured_Alistipes,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Alphaproteobacteria,3,0,10,0,22,10,35,26,122,270,0,0,0,112,111,0,12,32,60,18,9,39,4,63,44,24,55,80,7,51,96,39,140,0,24,123,123,184,0,98
uncultured_Anaerolinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,43,0,114,280,509,0,0,0,0,0,0,0,0,19,39,55,12,0,0
uncultured_Anaerolineaceae,209,236,197,126,488,409,820,549,2321,2075,78,135,82,303,261,207,196,967,1157,436,494,1420,237,1255,639,662,567,489,498,302,533,617,2158,188,763,474,452,979,230,1575
uncultured_Anaerolineae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,58,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Anaerolineales,0,0,14,19,0,0,13,6,0,24,0,0,0,0,0,4,4,31,12,11,15,37,0,81,45,58,29,22,0,0,0,0,30,11,4,26,25,40,30,49
uncultured_Antarctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,13,0,0,0,0,0,0,0,0,23,0,191,0,0,0,0,3
uncultured_Armatimonadetes,0,12,0,14,16,0,27,29,107,136,34,24,0,89,61,153,138,116,74,318,300,129,22,230,263,482,180,119,17,0,19,42,929,0,272,59,83,42,0,84
uncultured_Arthrobacter,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
uncultured_Bacteroides,36,32,37,44,0,0,34,0,0,43,39,0,31,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,31,0
