Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
uncultured_Methylococcales,46,0,13,0,84,65,179,37,142,64,21,0,32,74,75,33,34,81,0,54,83,377,0,341,471,402,49,17,39,22,91,149,275,0,144,51,121,99,21,86
uncultured_Methylocystaceae,20,0,27,17,62,48,0,41,0,0,12,34,0,0,0,38,0,36,9,102,67,0,20,0,0,0,54,60,0,0,44,36,144,0,49,0,0,0,29,0
uncultured_Mollicutes,0,0,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Myxococcales,39,0,55,0,34,16,31,58,13,0,28,7,31,18,143,110,112,54,40,96,70,31,11,0,0,28,91,70,70,46,48,23,44,6,0,0,7,57,44,22
uncultured_Nannocystaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,12,0,0,0
uncultured_Niastella,22,0,0,0,14,22,13,22,0,0,0,0,0,0,0,48,40,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,0,21,0,0,0,0,0,0
uncultured_Nitrosomonadaceae,86,96,123,175,140,183,212,70,511,674,98,68,84,261,200,275,290,288,298,148,177,389,129,532,337,351,212,272,138,100,114,201,982,64,338,298,369,151,189,137
uncultured_Nitrosomonadales,63,0,0,0,79,54,143,97,112,111,0,25,0,9,11,15,0,12,0,0,0,33,0,51,0,0,129,55,15,0,27,40,33,19,14,24,28,51,0,0
uncultured_Nitrosospira,0,0,0,0,0,0,0,0,0,0,0,0,0,66,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Nitrospinaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,15,0,0,0,0,0
uncultured_Nitrospira,34,303,179,242,23,24,12,0,0,0,676,19,454,144,90,1174,994,248,0,87,81,0,0,0,0,0,7,11,0,0,50,76,33,47,20,0,0,0,644,0
uncultured_Nitrospiraceae,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
uncultured_Nitrospirae,0,0,0,0,0,0,0,0,105,56,0,0,0,324,238,24,0,0,0,0,0,24,0,0,33,28,0,0,206,199,16,85,386,0,305,0,0,0,0,0
uncultured_Opitutae,0,0,0,40,36,57,17,46,0,0,23,0,20,0,0,0,0,0,0,26,0,0,30,0,0,0,0,18,0,0,0,49,0,25,0,0,0,0,0,0
uncultured_Opitutus,0,0,0,0,14,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
uncultured_Parcubacteria,8,0,0,4,0,0,0,0,31,73,46,0,0,21,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Pasteuria,42,24,44,58,133,126,148,86,79,128,100,36,121,33,0,67,63,67,105,41,0,78,43,61,127,82,121,131,17,23,76,53,0,36,0,26,56,33,50,54
uncultured_Pedomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,36,26,41,0,0,0,0,0,0,25,0,0,0,0,0,0,0
uncultured_Pedosphaera,0,32,12,0,25,44,0,32,0,29,41,0,31,116,58,29,20,46,29,63,35,0,0,13,37,43,28,25,74,0,16,47,47,25,37,0,0,9,37,0
uncultured_Peptococcaceae,0,14,0,0,15,0,0,0,0,27,0,0,0,0,0,0,0,0,32,0,0,45,0,58,7,34,9,0,7,0,6,16,0,0,4,0,11,0,18,8
uncultured_Phycisphaera,0,0,0,4,0,0,0,0,0,6,0,6,0,0,0,8,7,0,0,6,0,0,5,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Phycisphaerales,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0
uncultured_Phyllobacteriaceae,34,41,116,110,58,96,99,93,56,0,38,26,24,118,40,129,86,117,29,171,153,38,57,70,22,64,60,50,52,34,15,126,213,28,216,0,0,0,142,0
uncultured_Pirellula,0,0,0,0,0,0,0,10,19,16,0,0,0,0,0,0,0,0,23,0,0,0,0,0,18,62,18,30,0,0,0,0,16,0,0,37,111,38,0,28
uncultured_Planctomyces,0,5,10,0,0,0,0,14,0,0,0,0,0,0,0,18,10,21,7,26,17,0,0,7,0,7,16,13,0,0,0,0,18,8,0,10,16,13,0,27
uncultured_Planctomycetaceae,46,108,99,113,93,28,102,111,102,57,528,13,382,205,164,497,417,20,42,151,108,36,32,62,53,57,187,124,210,214,126,198,197,31,111,16,70,42,131,41
uncultured_Planctomycetales,285,362,287,272,398,249,89,161,307,371,246,144,158,1266,1261,185,178,183,78,212,213,119,176,113,43,97,120,70,1682,1304,179,323,599,273,586,43,99,81,410,75
uncultured_Planctomycetia,392,559,271,304,328,421,286,298,162,197,379,214,388,836,616,584,526,598,189,533,860,106,292,135,117,176,189,233,330,312,295,443,571,315,267,65,203,167,550,199
uncultured_Polyangiaceae,50,64,64,64,28,68,82,79,63,82,64,44,25,87,90,22,56,29,22,104,39,27,38,57,49,9,76,81,43,54,226,99,16,0,44,50,51,64,60,10
uncultured_Prolixibacter,0,0,0,0,0,0,0,10,28,28,0,0,0,19,22,0,0,0,117,0,0,147,0,112,30,53,33,23,0,0,0,0,0,0,0,0,19,60,0,94
uncultured_Prosthecobacter,8,49,35,42,28,21,22,17,0,15,21,10,29,67,40,29,48,71,37,79,11,29,21,13,41,36,0,25,28,11,78,71,26,28,0,0,20,67,26,56
uncultured_Pseudomonadales,0,0,0,0,8,28,8,0,173,175,0,0,10,41,48,0,0,55,154,0,13,90,24,103,15,57,17,74,0,8,68,154,130,42,71,120,113,86,0,112
uncultured_Rhizobiaceae,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0
uncultured_Rhizobiales,31,0,131,74,85,21,27,0,95,78,127,14,118,0,0,246,170,152,115,63,103,84,36,128,64,120,50,46,0,0,10,0,237,54,18,104,54,74,54,57
uncultured_Rhodobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,66,0,0,0,0,0,0,0,0,0,0
uncultured_Rhodocyclaceae,4,41,0,58,51,28,61,18,228,172,25,0,11,195,235,89,123,92,41,179,320,123,19,184,118,138,48,78,72,67,0,74,616,0,602,55,109,29,76,20
uncultured_Rhodopirellula,0,0,0,0,0,0,34,0,7,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,32,7,0,9
uncultured_Rhodospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Rhodospirillales,0,30,37,34,0,0,0,0,22,0,0,0,0,0,0,35,38,0,14,0,0,300,0,310,386,525,0,0,0,0,0,0,13,0,0,70,70,182,81,141
uncultured_Roseobacter,0,0,0,0,0,5,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
uncultured_Roseomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
uncultured_Rubrobacteraceae,20,51,59,0,113,76,343,198,39,63,28,32,29,0,0,80,40,47,81,234,130,109,60,81,82,99,110,205,13,0,47,17,113,41,29,232,145,132,70,115
uncultured_Rubrobacterales,64,12,0,0,258,136,44,90,0,10,0,59,0,0,0,0,0,21,29,37,48,39,40,45,38,55,0,0,19,0,51,99,0,25,0,116,83,92,6,99
uncultured_Rubrobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
uncultured_Rudaea,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
uncultured_Saccharibacillus,0,0,0,0,0,0,0,0,21,59,0,0,0,0,0,0,0,159,270,0,0,386,0,444,296,428,45,61,0,0,0,0,225,0,114,240,325,217,0,228
uncultured_Singulisphaera,64,167,101,60,159,129,56,52,0,0,341,104,252,96,124,327,288,38,0,41,31,0,79,0,0,0,0,46,370,209,415,349,63,90,23,0,0,0,255,0
uncultured_Smithella,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Solibacteraceae,52,30,35,19,62,36,24,30,0,0,51,44,39,0,18,63,52,34,0,47,31,0,62,8,0,66,0,0,47,25,74,147,5,42,0,0,0,0,36,0
uncultured_Solirubrobacter,19,0,41,23,0,0,40,52,0,19,0,0,0,0,0,11,38,30,42,116,88,19,0,80,97,90,54,91,0,0,0,0,22,0,0,180,131,131,0,131
uncultured_Sorangiineae,26,0,22,31,24,25,50,44,76,83,17,17,33,14,14,0,0,30,19,0,0,9,0,29,0,22,57,49,0,0,27,33,87,0,66,29,2,12,0,36
uncultured_Spartobacteria,430,472,175,380,226,189,206,226,186,139,2291,379,2274,719,459,1338,991,214,31,63,28,0,234,0,0,0,66,110,1379,1378,1066,1298,332,262,235,0,0,19,633,16
uncultured_Sphingobacteriales,0,0,0,0,0,0,20,4,71,29,0,0,0,161,251,0,4,13,21,12,0,0,0,55,0,0,23,45,113,57,11,29,256,0,86,28,37,0,0,43
uncultured_Sphingobacteriia,0,13,0,42,0,7,7,0,127,28,14,10,0,305,246,17,7,36,25,19,12,77,0,0,25,0,7,0,42,61,51,69,15,0,0,14,0,25,51,44
uncultured_Sporichthya,31,0,0,38,0,0,0,0,0,0,0,36,0,12,10,0,34,0,0,0,0,0,24,0,0,0,46,51,24,0,23,25,0,0,0,0,0,0,0,0
uncultured_Sporichthyaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,130,149,0,0,60,0,0,0,0,0,0,0,0,0,0,69,63,94,185,37,0,0,0,0,0,0,0
uncultured_Stella,86,81,90,89,36,28,45,40,0,0,404,61,448,17,69,216,194,0,0,15,15,0,0,0,0,7,0,6,125,66,77,74,19,0,28,14,0,24,99,14
uncultured_Steroidobacter,0,0,0,0,55,60,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,55,31,0,0,0,0,0,0,0,0
uncultured_Streptomyces,0,19,0,0,36,13,0,0,0,0,21,16,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0
uncultured_Streptomycetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,64,67,74,0,0,0,0,0,0,0,0,0,36,25,227,0,169
uncultured_Syntrophaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
uncultured_Syntrophobacterales,0,16,13,29,0,0,3,0,0,0,0,0,22,38,0,36,39,23,0,0,0,0,0,0,0,0,0,0,15,0,0,0,14,0,30,0,0,0,43,0
uncultured_Thermaerobacter,34,317,194,217,49,53,0,22,239,239,719,16,215,733,574,340,311,174,42,32,22,78,12,96,19,72,0,0,514,444,101,242,332,31,281,0,0,0,243,0
uncultured_Thermobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
uncultured_Thermoflavimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,352,0,0,0,0,0,0,0,0,0,0
uncultured_Thermomicrobium,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Thermosporothrix,223,6,17,36,0,0,0,0,22,17,98,57,0,0,38,196,104,0,0,64,74,0,152,6,0,8,15,17,188,168,0,0,197,53,110,0,0,0,2,0
uncultured_Thermosporotrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,47,0,0,0,0,0,0,0,0,0,0
uncultured_Thioalkalivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
uncultured_Truepera,0,9,54,56,71,37,27,26,0,37,0,0,11,20,25,81,58,19,13,73,56,42,27,40,38,74,62,0,0,0,0,40,55,33,0,18,0,0,89,15
uncultured_Verrucomicrobia,108,31,13,40,90,104,229,153,134,58,95,55,128,104,107,97,121,146,81,146,68,82,86,144,80,47,117,133,82,167,92,47,177,119,51,149,231,234,33,165
uncultured_Verrucomicrobiaceae,23,0,0,43,0,7,100,65,24,69,18,0,27,0,0,0,29,26,56,0,0,36,19,28,21,0,53,87,0,0,9,0,42,39,0,54,78,88,0,104
uncultured_Verrucomicrobiales,0,0,0,27,12,10,74,15,30,40,9,0,13,0,0,18,33,45,59,0,0,0,0,37,27,0,60,164,0,0,0,0,35,15,30,26,16,54,7,68
uncultured_Verrucomicrobium,0,0,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Xanthomonadales,0,0,0,0,0,0,0,0,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Xiphinematobacteriaceae,13,12,20,14,0,9,0,22,81,57,28,0,31,0,0,30,4,39,59,10,0,54,0,95,33,28,18,60,0,0,37,10,95,0,0,98,93,86,0,38
uncultured_Zavarzinella,212,55,138,150,548,351,143,215,73,62,351,51,296,189,109,320,337,122,56,232,161,65,221,0,144,179,67,107,82,43,237,278,312,155,123,48,104,134,49,58
uncultured_actinobacterium,337,393,557,522,278,463,544,583,589,663,53,173,164,241,253,331,368,808,499,973,903,415,222,375,473,431,403,428,208,99,442,306,1172,310,810,260,336,562,374,442
uncultured_ammonia-oxidizing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,62,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
uncultured_anaerobic,17,24,11,9,71,36,116,55,99,180,23,16,15,10,3,35,33,84,16,73,111,62,9,76,68,116,188,278,6,4,0,10,116,13,23,164,126,126,49,73
uncultured_archaeon,0,0,0,0,0,0,0,0,30,40,0,0,0,56,69,26,0,36,35,0,0,57,0,40,14,0,32,0,31,14,0,0,142,17,65,59,49,25,0,17
uncultured_bacterium,257,304,526,648,467,660,634,493,981,1207,1006,282,644,594,579,975,976,469,382,645,876,696,188,778,941,1142,505,815,770,639,664,1105,945,384,412,354,552,579,812,453
uncultured_beta,220,179,272,186,515,361,428,294,0,17,88,149,115,149,106,232,334,251,122,566,317,80,241,158,216,222,251,262,55,0,275,411,338,238,54,113,160,152,238,119
uncultured_candidate,68,41,83,88,108,94,75,80,0,13,48,21,5,18,14,81,59,19,0,71,33,6,39,13,13,16,12,13,16,0,34,51,80,51,22,0,0,0,116,0
uncultured_compost,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,6,13,0,0,0,0,0,0,0,10,0,0,0,0,0
uncultured_crenarchaeote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,35,33,0,0,16,0,0,0,0,0,0,0
uncultured_deep-sea,0,0,14,15,0,0,21,10,65,50,5,0,7,0,0,11,26,71,105,34,11,338,0,304,265,414,74,68,0,0,0,0,304,0,78,128,229,94,0,45
uncultured_delta,136,220,234,236,275,266,144,110,132,183,193,73,252,276,279,345,388,106,0,389,494,54,77,12,35,33,10,65,461,322,206,368,276,118,126,0,0,5,328,27
uncultured_endolithic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,12,0,13
uncultured_eubacterium,89,213,191,255,642,607,81,95,882,789,469,104,388,673,717,437,365,177,148,123,47,72,208,42,39,39,64,60,877,781,785,886,416,200,328,56,190,278,281,200
uncultured_forest,92,65,37,106,274,274,107,82,59,4,884,135,852,91,118,345,277,113,0,74,59,12,232,17,56,80,21,60,339,251,728,610,218,232,186,12,26,20,200,0
uncultured_gamma,5,0,0,7,0,10,9,0,28,36,9,5,0,15,17,5,0,0,0,0,0,30,0,14,9,9,0,21,17,0,3,0,5,7,21,31,15,27,9,5
uncultured_hydrocarbon,12,0,15,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,8,10,11,0,4,0,20,12,0,11,0,0,12,19,37,0,38,14,11,0,0,0
uncultured_marine,25,0,15,0,10,14,20,12,51,79,0,2,11,0,13,28,18,21,0,23,35,65,0,34,0,6,9,0,10,15,14,0,93,12,16,41,25,20,0,18
uncultured_microorganism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,0,0,46,0,86,94,113,22,24,0,0,0,0,54,0,0,66,94,80,0,99
uncultured_organism,290,634,613,520,560,383,635,613,456,506,843,153,619,510,537,982,1005,543,430,601,498,366,238,347,252,247,407,405,519,325,652,1146,888,234,355,476,611,563,760,527
uncultured_planctomycete,85,49,110,92,69,76,21,20,105,77,136,39,115,31,27,132,140,82,118,60,62,146,77,122,92,104,75,62,43,0,7,65,123,66,45,79,124,153,62,158
uncultured_prokaryote,198,148,223,236,255,278,384,253,679,687,75,87,111,476,269,222,180,1412,1231,362,471,1472,56,1527,936,1142,503,594,304,120,108,129,1817,137,645,500,816,1193,141,1395
uncultured_proteobacterium,193,269,484,396,443,333,617,437,775,855,553,124,483,691,637,1032,612,629,517,466,548,1120,188,1041,915,781,553,560,574,517,480,556,1335,146,665,729,754,561,425,607
uncultured_sediment,0,0,0,0,0,0,0,0,10,0,0,0,0,17,50,0,0,7,0,0,0,48,0,25,20,9,0,0,0,0,0,0,58,0,9,12,0,0,0,14
uncultured_sludge,255,505,439,553,541,463,475,403,675,793,538,264,438,501,608,831,659,574,537,525,376,486,447,396,398,463,509,627,705,362,728,620,1199,428,309,284,324,394,651,330
uncultured_soil,1789,2036,2268,2758,2948,2418,2343,1988,3277,3888,2431,920,1550,2815,2619,2907,3169,4002,3201,2903,3051,3750,1524,3957,3293,4037,2686,3488,2757,1968,1946,2242,7058,1396,2381,3016,3707,4133,2968,3981
uncultured_subdivision,64,86,22,44,40,17,21,22,55,53,13,6,49,340,212,30,25,82,30,39,39,21,29,8,29,10,0,0,180,155,51,42,65,58,52,0,17,42,92,19
uncultured_thaumarchaeote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,69,0,0,0,0,0,0,0,0,0,0
uncultured_thermal,0,29,16,56,0,8,0,0,0,0,0,0,0,50,24,0,0,0,0,0,0,16,22,27,37,33,0,0,0,0,0,0,12,0,0,0,0,0,57,0
uncultured_verrucomicrobium,78,23,70,89,72,87,189,110,297,300,85,67,76,18,22,119,112,271,239,140,149,240,45,235,201,193,134,174,8,0,40,52,306,84,134,60,135,124,23,116
unidentified,96,22,77,29,89,50,275,179,96,101,158,51,113,76,89,110,224,256,0,598,565,61,75,63,45,59,129,137,66,25,77,160,142,41,6,83,103,70,122,31
unidentified_archaeon,0,25,5,0,0,0,0,0,118,75,15,0,0,243,175,8,0,22,5,5,0,20,0,0,0,0,0,5,115,206,56,63,20,0,72,0,5,9,36,31
unidentified_bacterium,19,5,18,23,22,59,55,15,34,44,0,0,0,42,37,13,6,58,67,43,162,175,0,173,221,239,0,33,12,9,0,13,287,0,130,8,47,40,0,36
unidentified_eubacterium,0,0,0,0,0,0,0,0,23,15,0,0,0,11,0,0,0,10,0,0,0,14,0,0,0,0,0,6,22,0,0,22,16,0,12,0,0,0,0,0
unidentified_marine,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,17,5,10,12,0,0,0,0,0,12,0,0,0,20,19,0,0
vadinHA49,10,13,0,0,8,13,9,0,0,8,9,0,0,0,0,12,10,17,0,17,25,0,15,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,7,0
wastewater_metagenome,248,431,543,467,293,274,653,531,621,853,256,169,305,576,363,668,558,783,750,630,654,732,249,807,690,978,759,732,144,56,393,319,1780,274,673,701,663,885,545,750
