,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
AKYG1722,0.089930835,0.084059076,0.104844607,0.123845425,0.13884754,0.159008492,0.189846527,0.149742497,0.235140552,0.258952784,0.126582128,0.069769679,0.105667707,0.13884754,0.137880575,0.177370968,0.163228137,0.168590202,0.122940991,0.13981842,0.128426112,0.13884754,0.092956755,0.176259856,0.128426112,0.134051852,0.176259856,0.208812286,0.147726376,0.111537218,0.175152598,0.192164443,0.329064045,0.074354061,0.157963322,0.156922053,0.142754547,0.181853896,0.105667707,0.155884685
AKYG587,0.089930835,0.084059076,0.104844607,0.123845425,0.13884754,0.159008492,0.189846527,0.149742497,0.235140552,0.258952784,0.126582128,0.069769679,0.105667707,0.13884754,0.137880575,0.177370968,0.163228137,0.168590202,0.122940991,0.13981842,0.128426112,0.13884754,0.092956755,0.176259856,0.128426112,0.134051852,0.176259856,0.208812286,0.147726376,0.111537218,0.175152598,0.192164443,0.329064045,0.074354061,0.157963322,0.156922053,0.142754547,0.181853896,0.105667707,0.155884685
AT-s2-59,0.042945107,0.040006279,0.050499323,0.060314845,0.068220356,0.079067688,0.096175026,0.074049951,0.122499889,0.136947616,0.061746605,0.032936236,0.050920046,0.068220356,0.067706582,0.089177421,0.081371184,0.084315189,0.059842681,0.0687368,0.062713915,0.068220356,0.044467337,0.088559307,0.062713915,0.065678029,0.088559307,0.107019101,0.072965492,0.053931884,0.087944163,0.097486888,0.182145357,0.03519195,0.078498926,0.077932992,0.07030224,0.091679738,0.050920046,0.077369879
AT-s3-28,0.042945107,0.040006279,0.050499323,0.060314845,0.068220356,0.079067688,0.096175026,0.074049951,0.122499889,0.136947616,0.061746605,0.032936236,0.050920046,0.068220356,0.067706582,0.089177421,0.081371184,0.084315189,0.059842681,0.0687368,0.062713915,0.068220356,0.044467337,0.088559307,0.062713915,0.065678029,0.088559307,0.107019101,0.072965492,0.053931884,0.087944163,0.097486888,0.182145357,0.03519195,0.078498926,0.077932992,0.07030224,0.091679738,0.050920046,0.077369879
Acetobacteraceae,0.709991519,0.694531436,0.74370295,0.777873049,0.799781215,0.824074254,0.853061169,0.813543354,0.883943286,0.89645149,0.782160228,0.650125269,0.745365309,0.799781215,0.79847926,0.842315791,0.828554893,0.833989628,0.776424943,0.801074514,0.784971305,0.799781215,0.717433602,0.841299216,0.784971305,0.793183756,0.841299216,0.867349369,0.8111158,0.756703042,0.840275823,0.85493153,0.92395944,0.665559503,0.822935227,0.821788551,0.804903014,0.846314826,0.745365309,0.820634176
Acetobacteraceae_bacterium,0.445575676,0.427388136,0.487852014,0.534795711,0.567343649,0.605943525,0.655862254,0.588869614,0.714309613,0.739716946,0.541006124,0.378877311,0.490035927,0.567343649,0.565351648,0.636835286,0.613373246,0.622521515,0.532714874,0.569329872,0.545119328,0.567343649,0.454590658,0.635067929,0.545119328,0.557326347,0.635067929,0.682181859,0.585009054,0.50519533,0.633294313,0.65924005,0.79955176,0.395144751,0.604070751,0.602191863,0.575253651,0.643842059,0.490035927,0.600306875
Acetobacteroides_hydrogenigenes,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
Acidibacter,0.922298736,0.916830762,0.933637702,0.944379122,0.950901515,0.957825645,0.965692109,0.954862556,0.97363422,0.976730307,0.945677064,0.900091772,0.934177166,0.950901515,0.95052145,0.962824293,0.959068978,0.960563394,0.943938282,0.951278129,0.946522335,0.950901515,0.924869194,0.962550083,0.946522335,0.94896591,0.962550083,0.969420773,0.954171248,0.937809405,0.962273522,0.966185637,0.983309038,0.906091881,0.957507936,0.957187417,0.952387642,0.963898098,0.934177166,0.95686406
Acidimicrobiia,0.812314721,0.800778807,0.836864777,0.860936819,0.875958877,0.892254276,0.911217604,0.885236256,0.930867526,0.938669286,0.863901314,0.766628078,0.838054462,0.875958877,0.875074905,0.904247738,0.895219235,0.898798854,0.85993272,0.876835888,0.865838506,0.875958877,0.817804843,0.90358473,0.865838506,0.871468164,0.90358473,0.920378549,0.883608562,0.846117202,0.90291664,0.912423698,0.955518458,0.778672587,0.891498558,0.890736947,0.879425759,0.906849811,0.838054462,0.889969391
Acidisphaera_sp.,0.042945107,0.040006279,0.050499323,0.060314845,0.068220356,0.079067688,0.096175026,0.074049951,0.122499889,0.136947616,0.061746605,0.032936236,0.050920046,0.068220356,0.067706582,0.089177421,0.081371184,0.084315189,0.059842681,0.0687368,0.062713915,0.068220356,0.044467337,0.088559307,0.062713915,0.065678029,0.088559307,0.107019101,0.072965492,0.053931884,0.087944163,0.097486888,0.182145357,0.03519195,0.078498926,0.077932992,0.07030224,0.091679738,0.050920046,0.077369879
